year,month,day,hour,wspd,forecast
2009,9,16,0,25.35000038,18.33285641
2009,9,16,1,20.10000038,18.33285641
2009,9,16,2,19.64999962,18.33285641
2009,9,16,3,20.78300095,18.28295293
2009,9,16,4,20.11700058,17.88315953
2009,9,16,5,20.0170002,18.3368201
2009,9,16,6,17.06699944,18.31041591
2009,9,16,7,15.03299999,18.25795571
2009,9,16,8,12.9829998,16.01331046
2009,9,16,9,11.60000038,14.14385264
2009,9,16,10,9.649999619,12.23471152
2009,9,16,11,7.982999802,10.95580079
2009,9,16,12,7.916999817,9.158490258
2009,9,16,13,9.699999809,7.429983909
2009,9,16,14,13.11699963,7.415861598
2009,9,16,15,16.14999962,9.084094359
2009,9,16,16,18.86700058,12.22464015
2009,9,16,17,21.64999962,15.57101892
2009,9,16,18,23.85000038,17.38734778
2009,9,16,19,25.5170002,18.33522117
2009,9,16,20,26.38299942,18.34045555
2009,9,16,21,26.36700058,18.33285641
2009,9,16,22,25.9829998,18.33285641
2009,9,16,23,24.93300056,18.33285641
2009,9,17,0,23.03300095,18.33285641
2009,9,17,1,19.11700058,18.33285641
2009,9,17,2,17.25,18.33285641
2009,9,17,3,15.91699982,17.55080885
2009,9,17,4,15.69999981,16.05103468
2009,9,17,5,13.96700001,14.8767367
2009,9,17,6,12.43299961,14.85083307
2009,9,17,7,12.39999962,12.90928064
2009,9,17,8,11.55000019,11.70175256
2009,9,17,9,10.06700039,11.51887262
2009,9,17,10,7.217000008,10.75758559
2009,9,17,11,6.217000008,9.338465431
2009,9,17,12,4.400000095,7.02697181
2009,9,17,13,3.417000055,6.249678342
2009,9,17,14,3.433000088,4.954401081
2009,9,17,15,4.083000183,4.257244984
2009,9,17,16,5,4.257896454
2009,9,17,17,5.900000095,4.748943007
2009,9,17,18,7.517000198,5.553373942
2009,9,17,19,10.36699963,6.005215392
2009,9,17,20,12.46700001,7.295316919
2009,9,17,21,13.5170002,9.471685841
2009,9,17,22,11.89999962,11.34333196
2009,9,17,23,11.10000038,12.54663665
2009,9,18,0,11.2670002,11.34935795
2009,9,18,1,8.449999809,10.06651433
2009,9,18,2,7,10.49099774
2009,9,18,3,5.732999802,7.733799679
2009,9,18,4,4.699999809,6.732438058
2009,9,18,5,4.166999817,5.963505681
2009,9,18,6,4.666999817,5.39513639
2009,9,18,7,5.166999817,4.771520035
2009,9,18,8,5.132999897,5.380674231
2009,9,18,9,4.666999817,5.616164889
2009,9,18,10,4.217000008,5.603092572
2009,9,18,11,3.799999952,5.382806902
2009,9,18,12,4.524999976,4.836665853
2009,9,18,13,5.25,4.573725741
2009,9,18,14,11.19999981,4.964229231
2009,9,18,15,20.56699944,5.619141961
2009,9,18,16,26.66699982,10.19349588
2009,9,18,17,28.46699905,17.91407783
2009,9,18,18,30.03300095,18.15371051
2009,9,18,19,31.03300095,18.33285641
2009,9,18,20,31.35000038,18.33285641
2009,9,18,21,31.18300056,18.33285641
